Wifes-age,Wifes-education,Husbands-education,Number-of-children-ever-born,Wifes-religion,Wifes-now-working?,Husbands-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
mid40s,low,medium,three-to-five,Islam,not-working,medium-paid,1,Not-Good,No-use
late30s,medium,low,three-to-five,Islam,not-working,medium-paid,1,Not-Good,No-use
late30s,low,medium,six-to-eight,Islam,not-working,medium-paid,1,Not-Good,No-use
late30s,low,low,three-to-five,Islam,working,high-paid,1,Not-Good,No-use
mid30s,medium,medium,six-to-eight,Islam,working,high-paid,1,Not-Good,No-use
mid30s,high,very-high,three-to-five,Non-Islam,not-working,high-paid,1,Not-Good,No-use
early20s,medium,medium,one-to-two,Islam,not-working,high-paid,1,Not-Good,No-use
late20s,high,very-high,one-to-two,Islam,not-working,high-paid,1,Not-Good,No-use
late30s,low,medium,one-to-two,Islam,not-working,high-paid,1,Not-Good,No-use
mid20s,medium,medium,one-to-two,Islam,not-working,high-paid,1,Not-Good,No-use
late20s,low,medium,three-to-five,Islam,not-working,high-paid,1,Not-Good,No-use
mid30s,medium,high,three-to-five,Islam,not-working,high-paid,1,Not-Good,No-use
early20s,high,very-high,three-to-five,Islam,not-working,high-paid,1,Not-Good,No-use
early30s,low,low,three-to-five,Islam,not-working,high-paid,1,Not-Good,No-use
early40s,low,medium,six-to-eight,Islam,not-working,high-paid,1,Not-Good,No-use
mid40s,low,medium,six-to-eight,Islam,not-working,high-paid,1,Not-Good,No-use
mid40s,medium,medium,six-to-eight,Islam,not-working,high-paid,1,Not-Good,No-use
late40s,low,medium,six-to-eight,Islam,not-working,high-paid,1,Not-Good,No-use
mid40s,low,low,above-ten,Islam,not-working,very-high-paid,1,Not-Good,No-use
early30s,high,very-high,one-to-two,Islam,not-working,low-paid,2,Not-Good,No-use
mid40s,low,very-high,three-to-five,Islam,not-working,low-paid,2,Not-Good,No-use
early40s,low,high,one-to-two,Islam,working,medium-paid,2,Not-Good,No-use
late40s,low,medium,three-to-five,Islam,working,medium-paid,2,Not-Good,No-use
late40s,low,low,six-to-eight,Islam,working,medium-paid,2,Not-Good,No-use
mid40s,high,medium,above-ten,Islam,working,medium-paid,2,Not-Good,No-use
early40s,low,very-high,above-ten,Non-Islam,not-working,medium-paid,2,Not-Good,No-use
mid30s,low,high,none,Islam,not-working,medium-paid,2,Not-Good,No-use
late30s,low,medium,one-to-two,Islam,not-working,medium-paid,2,Not-Good,No-use
early20s,medium,medium,one-to-two,Islam,not-working,medium-paid,2,Not-Good,No-use
early40s,high,high,three-to-five,Islam,not-working,medium-paid,2,Not-Good,No-use
early30s,high,medium,three-to-five,Islam,not-working,medium-paid,2,Not-Good,No-use
early30s,low,high,three-to-five,Islam,not-working,medium-paid,2,Not-Good,No-use
early40s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Not-Good,No-use
mid40s,low,low,six-to-eight,Islam,not-working,medium-paid,2,Not-Good,No-use
early40s,low,medium,six-to-eight,Islam,not-working,medium-paid,2,Not-Good,No-use
early30s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Not-Good,No-use
late30s,high,high,three-to-five,Non-Islam,working,high-paid,2,Not-Good,No-use
late20s,medium,medium,one-to-two,Islam,working,high-paid,2,Not-Good,No-use
late30s,medium,medium,three-to-five,Islam,working,high-paid,2,Not-Good,No-use
mid30s,medium,high,one-to-two,Islam,not-working,high-paid,2,Not-Good,No-use
late40s,medium,very-high,one-to-two,Islam,not-working,high-paid,2,Not-Good,No-use
early30s,low,medium,three-to-five,Islam,not-working,high-paid,2,Not-Good,No-use
mid40s,medium,high,six-to-eight,Islam,not-working,high-paid,2,Not-Good,No-use
early40s,low,high,nine-to-ten,Islam,not-working,high-paid,2,Not-Good,No-use
mid30s,high,high,three-to-five,Non-Islam,working,medium-paid,3,Not-Good,No-use
mid30s,high,medium,six-to-eight,Islam,working,medium-paid,3,Not-Good,No-use
mid40s,low,high,one-to-two,Islam,not-working,medium-paid,3,Not-Good,No-use
late40s,low,medium,one-to-two,Islam,not-working,medium-paid,3,Not-Good,No-use
late40s,low,low,six-to-eight,Islam,not-working,medium-paid,3,Not-Good,No-use
late40s,low,low,six-to-eight,Islam,not-working,medium-paid,3,Not-Good,No-use
early40s,low,high,nine-to-ten,Islam,not-working,medium-paid,3,Not-Good,No-use
late40s,low,low,one-to-two,Islam,working,high-paid,3,Not-Good,No-use
late30s,low,high,one-to-two,Islam,working,high-paid,3,Not-Good,No-use
mid20s,low,very-high,one-to-two,Islam,working,high-paid,3,Not-Good,No-use
late40s,low,high,none,Islam,not-working,high-paid,3,Not-Good,No-use
late40s,low,high,three-to-five,Islam,not-working,high-paid,3,Not-Good,No-use
mid40s,low,high,three-to-five,Islam,not-working,high-paid,3,Not-Good,No-use
mid40s,low,medium,six-to-eight,Islam,not-working,high-paid,3,Not-Good,No-use
mid40s,low,medium,six-to-eight,Islam,not-working,high-paid,3,Not-Good,No-use
late30s,low,medium,six-to-eight,Islam,not-working,high-paid,3,Not-Good,No-use
mid30s,medium,high,six-to-eight,Islam,not-working,high-paid,3,Not-Good,No-use
mid40s,very-high,very-high,three-to-five,Islam,working,low-paid,4,Not-Good,No-use
mid40s,high,very-high,one-to-two,Islam,not-working,low-paid,4,Not-Good,No-use
late20s,low,medium,three-to-five,Islam,not-working,low-paid,4,Not-Good,No-use
mid40s,low,very-high,six-to-eight,Islam,not-working,low-paid,4,Not-Good,No-use
late30s,low,medium,one-to-two,Islam,not-working,medium-paid,4,Not-Good,No-use
early20s,low,high,none,Islam,working,high-paid,4,Not-Good,No-use
mid20s,medium,high,one-to-two,Islam,working,high-paid,4,Not-Good,No-use
early40s,low,medium,one-to-two,Islam,not-working,high-paid,4,Not-Good,No-use
late40s,low,high,three-to-five,Islam,not-working,high-paid,4,Not-Good,No-use
late20s,medium,very-high,one-to-two,Islam,working,very-high-paid,4,Not-Good,No-use
late20s,medium,very-high,one-to-two,Islam,working,low-paid,1,Good,No-use
early20s,very-high,very-high,none,Islam,not-working,low-paid,1,Good,No-use
late20s,medium,high,one-to-two,Islam,not-working,low-paid,1,Good,No-use
mid20s,high,very-high,three-to-five,Islam,not-working,low-paid,1,Good,No-use
late40s,medium,high,three-to-five,Islam,not-working,low-paid,1,Good,No-use
mid40s,low,low,none,Non-Islam,working,medium-paid,1,Good,No-use
mid20s,medium,high,one-to-two,Islam,working,medium-paid,1,Good,No-use
mid20s,medium,medium,three-to-five,Islam,working,medium-paid,1,Good,No-use
mid20s,medium,high,none,Islam,not-working,medium-paid,1,Good,No-use
early30s,medium,medium,one-to-two,Islam,not-working,medium-paid,1,Good,No-use
early20s,medium,high,one-to-two,Islam,not-working,medium-paid,1,Good,No-use
early30s,medium,high,one-to-two,Islam,not-working,medium-paid,1,Good,No-use
mid20s,high,very-high,one-to-two,Islam,not-working,medium-paid,1,Good,No-use
mid20s,low,very-high,one-to-two,Islam,not-working,medium-paid,1,Good,No-use
mid20s,medium,medium,three-to-five,Islam,not-working,medium-paid,1,Good,No-use
late20s,high,very-high,three-to-five,Islam,not-working,medium-paid,1,Good,No-use
late20s,medium,high,three-to-five,Islam,not-working,medium-paid,1,Good,No-use
late20s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,1,Good,No-use
late30s,high,very-high,six-to-eight,Islam,not-working,medium-paid,1,Good,No-use
below20,high,very-high,none,Islam,working,high-paid,1,Good,No-use
mid20s,high,very-high,none,Islam,working,high-paid,1,Good,No-use
early20s,high,very-high,none,Islam,working,high-paid,1,Good,No-use
mid20s,medium,medium,three-to-five,Islam,working,high-paid,1,Good,No-use
late40s,low,low,six-to-eight,Islam,working,high-paid,1,Good,No-use
early40s,low,medium,six-to-eight,Islam,working,high-paid,1,Good,No-use
late40s,medium,medium,six-to-eight,Islam,working,high-paid,1,Good,No-use
early30s,very-high,very-high,one-to-two,Non-Islam,not-working,high-paid,1,Good,No-use
mid20s,medium,very-high,none,Islam,not-working,high-paid,1,Good,No-use
late20s,medium,very-high,none,Islam,not-working,high-paid,1,Good,No-use
below20,high,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid20s,high,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid20s,low,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
late20s,medium,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
below20,high,very-high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid20s,medium,very-high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
below20,medium,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid40s,low,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
early30s,medium,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
early20s,medium,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid20s,medium,medium,one-to-two,Islam,not-working,high-paid,1,Good,No-use
late20s,medium,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
early20s,medium,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
mid20s,medium,high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
early20s,medium,very-high,one-to-two,Islam,not-working,high-paid,1,Good,No-use
late20s,low,low,three-to-five,Islam,not-working,high-paid,1,Good,No-use
below20,medium,medium,three-to-five,Islam,not-working,high-paid,1,Good,No-use
early30s,medium,high,three-to-five,Islam,not-working,high-paid,1,Good,No-use
mid20s,medium,high,three-to-five,Islam,not-working,high-paid,1,Good,No-use
late40s,high,very-high,three-to-five,Islam,not-working,high-paid,1,Good,No-use
late40s,medium,medium,three-to-five,Islam,not-working,high-paid,1,Good,No-use
late30s,high,high,six-to-eight,Islam,not-working,high-paid,1,Good,No-use
late40s,low,medium,six-to-eight,Islam,not-working,high-paid,1,Good,No-use
early40s,low,high,six-to-eight,Islam,not-working,high-paid,1,Good,No-use
late40s,medium,high,above-ten,Islam,not-working,high-paid,1,Good,No-use
late20s,low,very-high,none,Islam,working,very-high-paid,1,Good,No-use
mid20s,high,very-high,one-to-two,Islam,working,very-high-paid,1,Good,No-use
mid20s,medium,very-high,none,Islam,not-working,very-high-paid,1,Good,No-use
early30s,low,medium,three-to-five,Islam,not-working,very-high-paid,1,Good,No-use
mid20s,medium,very-high,none,Islam,working,low-paid,2,Good,No-use
mid30s,very-high,very-high,three-to-five,Non-Islam,not-working,low-paid,2,Good,No-use
late40s,medium,high,none,Islam,not-working,low-paid,2,Good,No-use
late20s,medium,high,one-to-two,Islam,not-working,low-paid,2,Good,No-use
early40s,high,very-high,one-to-two,Islam,not-working,low-paid,2,Good,No-use
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,2,Good,No-use
early30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,2,Good,No-use
mid20s,very-high,very-high,three-to-five,Islam,not-working,low-paid,2,Good,No-use
late40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,2,Good,No-use
mid40s,low,very-high,nine-to-ten,Islam,not-working,low-paid,2,Good,No-use
late20s,very-high,medium,none,Islam,working,medium-paid,2,Good,No-use
below20,medium,high,none,Islam,working,medium-paid,2,Good,No-use
mid20s,very-high,very-high,none,Islam,working,medium-paid,2,Good,No-use
mid30s,high,high,one-to-two,Islam,working,medium-paid,2,Good,No-use
late20s,high,very-high,one-to-two,Islam,working,medium-paid,2,Good,No-use
late30s,low,high,three-to-five,Islam,working,medium-paid,2,Good,No-use
mid30s,high,very-high,three-to-five,Islam,working,medium-paid,2,Good,No-use
mid30s,high,very-high,six-to-eight,Islam,working,medium-paid,2,Good,No-use
late20s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,2,Good,No-use
mid20s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,2,Good,No-use
early40s,medium,medium,three-to-five,Non-Islam,not-working,medium-paid,2,Good,No-use
late30s,medium,very-high,three-to-five,Non-Islam,not-working,medium-paid,2,Good,No-use
early20s,medium,low,none,Islam,not-working,medium-paid,2,Good,No-use
below20,medium,medium,none,Islam,not-working,medium-paid,2,Good,No-use
late20s,high,medium,none,Islam,not-working,medium-paid,2,Good,No-use
early20s,high,medium,none,Islam,not-working,medium-paid,2,Good,No-use
early20s,high,high,none,Islam,not-working,medium-paid,2,Good,No-use
early20s,high,high,none,Islam,not-working,medium-paid,2,Good,No-use
early20s,medium,very-high,none,Islam,not-working,medium-paid,2,Good,No-use
mid20s,high,high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
mid20s,medium,very-high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
early20s,high,high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
early20s,high,high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
mid20s,high,very-high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
mid30s,low,very-high,one-to-two,Islam,not-working,medium-paid,2,Good,No-use
late40s,low,low,three-to-five,Islam,not-working,medium-paid,2,Good,No-use
late40s,low,medium,three-to-five,Islam,not-working,medium-paid,2,Good,No-use
early40s,high,high,three-to-five,Islam,not-working,medium-paid,2,Good,No-use
early30s,low,low,three-to-five,Islam,not-working,medium-paid,2,Good,No-use
early40s,high,high,three-to-five,Islam,not-working,medium-paid,2,Good,No-use
late30s,high,high,six-to-eight,Islam,not-working,medium-paid,2,Good,No-use
late40s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Good,No-use
early40s,medium,medium,six-to-eight,Islam,not-working,medium-paid,2,Good,No-use
late30s,medium,medium,one-to-two,Islam,working,high-paid,2,Good,No-use
mid40s,medium,medium,one-to-two,Islam,working,high-paid,2,Good,No-use
early20s,high,high,one-to-two,Islam,working,high-paid,2,Good,No-use
mid20s,high,high,one-to-two,Islam,working,high-paid,2,Good,No-use
mid40s,medium,low,three-to-five,Islam,working,high-paid,2,Good,No-use
mid30s,medium,high,three-to-five,Islam,working,high-paid,2,Good,No-use
mid30s,very-high,high,three-to-five,Islam,working,high-paid,2,Good,No-use
early30s,high,very-high,three-to-five,Islam,working,high-paid,2,Good,No-use
late20s,medium,very-high,three-to-five,Islam,working,high-paid,2,Good,No-use
early30s,medium,high,three-to-five,Islam,working,high-paid,2,Good,No-use
early40s,low,high,three-to-five,Islam,working,high-paid,2,Good,No-use
late30s,medium,high,three-to-five,Islam,working,high-paid,2,Good,No-use
late40s,low,medium,six-to-eight,Islam,working,high-paid,2,Good,No-use
early40s,high,very-high,nine-to-ten,Islam,working,high-paid,2,Good,No-use
early20s,medium,high,one-to-two,Non-Islam,not-working,high-paid,2,Good,No-use
early40s,low,low,none,Islam,not-working,high-paid,2,Good,No-use
early20s,medium,low,none,Islam,not-working,high-paid,2,Good,No-use
late20s,high,very-high,none,Islam,not-working,high-paid,2,Good,No-use
early20s,medium,very-high,none,Islam,not-working,high-paid,2,Good,No-use
early20s,very-high,very-high,none,Islam,not-working,high-paid,2,Good,No-use
late20s,medium,medium,one-to-two,Islam,not-working,high-paid,2,Good,No-use
early20s,medium,medium,one-to-two,Islam,not-working,high-paid,2,Good,No-use
below20,medium,high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
mid20s,high,high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
early20s,high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
mid20s,high,medium,one-to-two,Islam,not-working,high-paid,2,Good,No-use
below20,high,high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
early30s,medium,high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
mid20s,medium,high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
early20s,high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
early30s,very-high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,2,Good,No-use
late20s,high,medium,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early40s,high,high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
mid20s,high,very-high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early20s,medium,very-high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
mid20s,high,high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early20s,low,high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early30s,medium,very-high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
mid40s,high,low,three-to-five,Islam,not-working,high-paid,2,Good,No-use
late40s,low,high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early30s,medium,very-high,three-to-five,Islam,not-working,high-paid,2,Good,No-use
early30s,low,low,six-to-eight,Islam,not-working,high-paid,2,Good,No-use
late30s,medium,high,six-to-eight,Islam,not-working,high-paid,2,Good,No-use
mid30s,medium,high,six-to-eight,Islam,not-working,high-paid,2,Good,No-use
mid30s,high,high,six-to-eight,Islam,not-working,high-paid,2,Good,No-use
late30s,medium,medium,nine-to-ten,Islam,not-working,high-paid,2,Good,No-use
mid20s,low,high,one-to-two,Islam,not-working,very-high-paid,2,Good,No-use
early30s,very-high,very-high,none,Non-Islam,working,low-paid,3,Good,No-use
early30s,very-high,very-high,three-to-five,Non-Islam,working,low-paid,3,Good,No-use
late40s,medium,high,none,Islam,working,low-paid,3,Good,No-use
late20s,high,very-high,none,Islam,working,low-paid,3,Good,No-use
late20s,medium,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
late40s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
early30s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
late20s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
late40s,low,medium,one-to-two,Islam,working,low-paid,3,Good,No-use
mid30s,very-high,very-high,one-to-two,Islam,working,low-paid,3,Good,No-use
mid40s,high,very-high,three-to-five,Islam,working,low-paid,3,Good,No-use
late20s,high,very-high,three-to-five,Islam,working,low-paid,3,Good,No-use
early30s,very-high,very-high,three-to-five,Islam,working,low-paid,3,Good,No-use
mid40s,low,high,six-to-eight,Islam,working,low-paid,3,Good,No-use
late20s,very-high,very-high,none,Non-Islam,not-working,low-paid,3,Good,No-use
late20s,very-high,very-high,one-to-two,Non-Islam,not-working,low-paid,3,Good,No-use
early20s,high,very-high,none,Islam,not-working,low-paid,3,Good,No-use
mid20s,high,very-high,none,Islam,not-working,low-paid,3,Good,No-use
mid40s,high,very-high,none,Islam,not-working,low-paid,3,Good,No-use
mid40s,high,very-high,none,Islam,not-working,low-paid,3,Good,No-use
early20s,very-high,very-high,none,Islam,not-working,low-paid,3,Good,No-use
mid40s,high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid20s,medium,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid40s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
below20,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late20s,high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late20s,high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late40s,medium,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
early30s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
early20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,low-paid,3,Good,No-use
late40s,low,medium,three-to-five,Islam,not-working,low-paid,3,Good,No-use
late30s,medium,very-high,three-to-five,Islam,not-working,low-paid,3,Good,No-use
mid30s,high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,No-use
early40s,low,very-high,three-to-five,Islam,not-working,low-paid,3,Good,No-use
early40s,very-high,very-high,three-to-five,Islam,not-working,low-paid,3,Good,No-use
early40s,very-high,very-high,six-to-eight,Islam,not-working,low-paid,3,Good,No-use
early40s,medium,medium,six-to-eight,Islam,not-working,low-paid,3,Good,No-use
mid40s,very-high,very-high,nine-to-ten,Islam,not-working,low-paid,3,Good,No-use
mid30s,very-high,very-high,one-to-two,Non-Islam,working,medium-paid,3,Good,No-use
early30s,high,very-high,none,Islam,working,medium-paid,3,Good,No-use
mid20s,high,very-high,none,Islam,working,medium-paid,3,Good,No-use
early40s,medium,high,one-to-two,Islam,working,medium-paid,3,Good,No-use
early30s,high,high,one-to-two,Islam,working,medium-paid,3,Good,No-use
early20s,high,very-high,one-to-two,Islam,working,medium-paid,3,Good,No-use
late20s,low,very-high,one-to-two,Islam,working,medium-paid,3,Good,No-use
early30s,very-high,very-high,three-to-five,Islam,working,medium-paid,3,Good,No-use
early30s,high,high,six-to-eight,Islam,working,medium-paid,3,Good,No-use
mid30s,medium,medium,nine-to-ten,Islam,working,medium-paid,3,Good,No-use
mid30s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,No-use
late20s,high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Non-Islam,not-working,medium-paid,3,Good,No-use
early40s,medium,high,three-to-five,Non-Islam,not-working,medium-paid,3,Good,No-use
early30s,high,very-high,three-to-five,Non-Islam,not-working,medium-paid,3,Good,No-use
late40s,medium,very-high,six-to-eight,Non-Islam,not-working,medium-paid,3,Good,No-use
mid40s,low,high,none,Islam,not-working,medium-paid,3,Good,No-use
early20s,high,very-high,none,Islam,not-working,medium-paid,3,Good,No-use
late30s,high,low,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
below20,medium,high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early20s,high,high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early20s,medium,high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
below20,high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early20s,high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early40s,medium,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early20s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
late30s,high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early20s,high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
early30s,very-high,very-high,one-to-two,Islam,not-working,medium-paid,3,Good,No-use
late40s,high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid20s,medium,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
late40s,medium,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
late30s,medium,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
late40s,medium,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid20s,very-high,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid40s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid30s,very-high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid30s,medium,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
late40s,very-high,high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
late40s,high,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid30s,medium,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
early30s,medium,very-high,three-to-five,Islam,not-working,medium-paid,3,Good,No-use
mid30s,medium,low,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
mid30s,high,high,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
mid30s,medium,high,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
early30s,low,low,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
late40s,low,very-high,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
late30s,medium,medium,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
mid40s,medium,very-high,six-to-eight,Islam,not-working,medium-paid,3,Good,No-use
early40s,high,medium,above-ten,Islam,not-working,medium-paid,3,Good,No-use
mid40s,medium,high,above-ten,Islam,not-working,medium-paid,3,Good,No-use
late30s,low,medium,above-ten,Islam,not-working,medium-paid,3,Good,No-use
mid30s,medium,medium,none,Non-Islam,working,high-paid,3,Good,No-use
mid30s,very-high,high,none,Non-Islam,working,high-paid,3,Good,No-use
early30s,very-high,very-high,none,Non-Islam,working,high-paid,3,Good,No-use
late30s,medium,high,one-to-two,Non-Islam,working,high-paid,3,Good,No-use
mid30s,very-high,very-high,three-to-five,Non-Islam,working,high-paid,3,Good,No-use
early30s,low,medium,none,Islam,working,high-paid,3,Good,No-use
early30s,very-high,medium,none,Islam,working,high-paid,3,Good,No-use
late20s,high,very-high,none,Islam,working,high-paid,3,Good,No-use
early30s,very-high,very-high,none,Islam,working,high-paid,3,Good,No-use
mid20s,high,medium,one-to-two,Islam,working,high-paid,3,Good,No-use
mid40s,low,medium,one-to-two,Islam,working,high-paid,3,Good,No-use
early40s,high,high,one-to-two,Islam,working,high-paid,3,Good,No-use
mid20s,high,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
early40s,medium,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
mid40s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
early20s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
early30s,high,high,one-to-two,Islam,working,high-paid,3,Good,No-use
early20s,very-high,very-high,one-to-two,Islam,working,high-paid,3,Good,No-use
early40s,medium,high,six-to-eight,Islam,working,high-paid,3,Good,No-use
mid30s,medium,high,six-to-eight,Islam,working,high-paid,3,Good,No-use
mid30s,very-high,very-high,one-to-two,Non-Islam,not-working,high-paid,3,Good,No-use
late20s,high,very-high,none,Islam,not-working,high-paid,3,Good,No-use
early20s,high,very-high,none,Islam,not-working,high-paid,3,Good,No-use
late20s,high,very-high,none,Islam,not-working,high-paid,3,Good,No-use
early20s,high,very-high,none,Islam,not-working,high-paid,3,Good,No-use
early20s,medium,very-high,none,Islam,not-working,high-paid,3,Good,No-use
below20,very-high,high,none,Islam,not-working,high-paid,3,Good,No-use
early40s,high,medium,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid20s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early20s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early30s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
below20,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
below20,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid30s,low,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early20s,very-high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early20s,medium,medium,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid20s,high,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early20s,high,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid20s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
late20s,medium,high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
mid20s,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early30s,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
early20s,high,very-high,one-to-two,Islam,not-working,high-paid,3,Good,No-use
