age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
under20, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,none,none,below40, United-States
late20, Federal-gov, Bachelors, Never-married, Transport-moving, Other-relative, White, Male,none,none,below40, United-States
mid30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,none,none,below40, United-States
late30, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below40, United-States
early40, Self-emp-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,none,none,below40, United-States
late60, State-gov, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below40, United-States
early40, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,none,none,below40, United-States
mid20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
late20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,none,none,below40, United-States
early40, Private, 5th-6th, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,none,none,below40, Mexico
early40, Private, 5th-6th, Married-spouse-absent, Farming-fishing, Unmarried, White, Male,none,none,below40, Mexico
early30, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,none,none,below40, United-States
early30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below40, United-States
early20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
early60, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below40, Columbia
mid40, Private, 5th-6th, Divorced, Priv-house-serv, Unmarried, White, Female,none,none,below40, Mexico
mid20, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,none,none,below40, United-States
mid60, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,none,none,below40, United-States
under20, Private, 12th, Never-married, Sales, Own-child, White, Female,none,none,below40, United-States
mid20, Private, Preschool, Never-married, Farming-fishing, Not-in-family, White, Male,none,none,below40, Mexico
mid20, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,none,none,below40, United-States
mid50, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below40, ?
under20, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,none,none,below40, United-States
late30, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,none,none,below40, United-States
late60, ?, 10th, Married-civ-spouse, ?, Husband, White, Male,none,none,below40, United-States
under18, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,none,none,below40, Mexico
late20, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,none,none,below40, United-States
under20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below40, United-States
mid30, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,none,none,below40, United-States
late40, Private, Assoc-acdm, Widowed, Other-service, Own-child, White, Female,none,none,below40, United-States
early30, Private, 7th-8th, Separated, Handlers-cleaners, Not-in-family, Black, Male,none,none,below40, Haiti
early20, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,none,none,below40, United-States
early40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below40, United-States
mid40, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below40, United-States
under20, Private, Some-college, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
mid50, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,none,none,below40, United-States
mid40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,none,none,below40, United-States
early40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below40, United-States
under20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,none,none,below40, United-States
late20, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,none,none,below40, United-States
late30, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,none,none,below40, United-States
mid20, Private, 11th, Never-married, Craft-repair, Not-in-family, Black, Male,none,none,below40, Jamaica
early20, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,none,none,below40, United-States
mid50, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Female,none,none,below40, United-States
early20, ?, 9th, Divorced, ?, Not-in-family, White, Female,none,none,below40, United-States
early40, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below40, United-States
early50, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Female,none,none,below40, United-States
early20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,none,none,below40, United-States
mid20, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,none,none,below40, South
under20, Self-emp-not-inc, 9th, Never-married, Prof-specialty, Not-in-family, White, Male,none,none,below40, Mexico
early20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
early40, Federal-gov, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,none,none,below40, United-States
mid40, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Male,none,none,below40, United-States
late20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Sales, Own-child, White, Female,none,none,below40, United-States
late20, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
early40, Private, Bachelors, Separated, Adm-clerical, Unmarried, Black, Male,none,none,below40, United-States
mid20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,none,none,below40, United-States
early20, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,none,none,below40, United-States
early30, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,none,none,below40, United-States
mid50, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Male,none,none,below40, Mexico
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below40, United-States
early20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
early40, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below40, United-States
early30, State-gov, Some-college, Separated, Adm-clerical, Own-child, Black, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,none,none,below40, United-States
early30, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,none,none,below40, United-States
mid20, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,none,none,below40, United-States
early30, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,none,none,below40, United-States
mid30, Private, 5th-6th, Separated, Priv-house-serv, Unmarried, Other, Female,none,none,below40, Mexico
late30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below40, United-States
mid30, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,none,none,below40, United-States
under20, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,none,none,below40, Mexico
late30, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,none,none,below40, United-States
early30, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,none,none,below40, United-States
under20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,none,none,below40, Laos
early50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,none,none,below40, United-States
early40, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,none,none,below40, United-States
under20, Private, 11th, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,none,none,below40, United-States
early30, Private, 1st-4th, Separated, Handlers-cleaners, Unmarried, White, Male,none,none,below40, Honduras
early40, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below40, United-States
mid20, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,none,none,below40, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below40, United-States
mid30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,none,none,below40, United-States
early50, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,none,none,below40, United-States
mid20, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,none,none,below40, United-States
early20, Private, 11th, Widowed, Sales, Own-child, Black, Female,none,none,below40, United-States
early30, Private, 10th, Married-civ-spouse, Exec-managerial, Wife, White, Female,none,none,below40, United-States
mid30, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,none,none,below40, United-States
mid50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,none,none,below40, Mexico
under20, Private, Some-college, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
late60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,none,none,below40, United-States
early30, Private, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Female,none,none,below40, Germany
under20, Private, 11th, Never-married, Priv-house-serv, Not-in-family, White, Female,none,none,below40, United-States
early30, Local-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,none,none,below40, United-States
early50, Local-gov, HS-grad, Married-spouse-absent, Transport-moving, Other-relative, White, Female,none,none,below40, United-States
early70, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,none,none,below40, United-States
mid20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below40, United-States
early20, Private, 12th, Never-married, Protective-serv, Own-child, Black, Male,none,none,below40, United-States
under18, Self-emp-inc, 10th, Never-married, Other-service, Own-child, Black, Male,none,none,below40, United-States
mid20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,none,none,below40, United-States
early40, Private, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, Mexico
mid30, Private, 10th, Separated, Other-service, Not-in-family, White, Female,none,none,below40, United-States
mid30, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,none,none,below40, United-States
late40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below40, United-States
late50, Private, Masters, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,none,none,below40, Philippines
late30, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Female,none,none,below40, United-States
mid20, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,none,none,below40, Italy
late30, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,none,none,below40, United-States
early20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below40, United-States
late20, Private, 11th, Married-civ-spouse, Sales, Own-child, Black, Male,none,none,below40, United-States
mid30, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,none,none,below40, United-States
mid50, Private, HS-grad, Separated, Sales, Unmarried, White, Female,none,none,below40, United-States
early30, Private, 7th-8th, Separated, Transport-moving, Not-in-family, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,none,none,below40, ?
early20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below40, United-States
early50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
early30, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,none,none,below40, Haiti
early40, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,none,none,below40, United-States
mid30, Private, 12th, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,none,none,below40, Mexico
early50, Private, HS-grad, Divorced, Sales, Own-child, White, Female,none,none,below40, United-States
early20, ?, Some-college, Never-married, ?, Not-in-family, White, Female,none,none,below40, United-States
mid30, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,none,none,below40, United-States
early20, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,none,none,below40, United-States
early70, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,none,none,below40, United-States
early40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,none,none,below40, United-States
mid30, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,none,none,below40, United-States
early40, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,none,none,below40, United-States
early40, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
under20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,none,none,below40, United-States
early20, Private, 11th, Never-married, Craft-repair, Unmarried, White, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,none,none,below40, United-States
early40, Private, 10th, Divorced, Machine-op-inspct, Not-in-family, White, Female,none,none,below40, United-States
under20, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,none,none,below40, United-States
early40, Self-emp-not-inc, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,none,none,below40, United-States
early30, Private, HS-grad, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,none,none,below40, Hong
mid30, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,none,none,below40, China
mid30, ?, 12th, Never-married, ?, Not-in-family, White, Male,none,none,below40, United-States
under20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,none,none,below40, United-States
mid40, Local-gov, 12th, Married-civ-spouse, Other-service, Other-relative, White, Female,none,none,below40, Mexico
early30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,none,none,below40, India
early40, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Male,none,none,below40, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below40, United-States
mid20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,none,none,below40, United-States
early20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
early30, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,none,none,below40, United-States
mid30, ?, HS-grad, Never-married, ?, Unmarried, Black, Female,none,none,below40, United-States
late30, Self-emp-not-inc, Bachelors, Separated, Craft-repair, Own-child, White, Male,none,none,below40, United-States
mid40, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,none,none,below40, United-States
early20, Private, 11th, Never-married, Tech-support, Own-child, White, Female,none,none,below40, United-States
late30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,none,none,below40, United-States
mid30, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
late50, Local-gov, Masters, Widowed, Prof-specialty, Unmarried, White, Male,none,none,below40, United-States
early20, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, United-States
late40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,none,none,below40, United-States
under20, Private, Some-college, Never-married, Other-service, Other-relative, Black, Male,none,none,below40, United-States
late30, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, Black, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,none,none,below40, United-States
mid30, ?, 9th, Married-civ-spouse, ?, Wife, White, Female,none,none,below40, United-States
mid20, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,none,none,below40, United-States
mid40, Local-gov, 12th, Married-civ-spouse, Other-service, Husband, White, Male,none,none,below40, United-States
early20, ?, Some-college, Divorced, ?, Not-in-family, White, Female,none,none,below40, United-States
late20, Local-gov, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Female,none,none,below40, Nicaragua
early20, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,none,none,below40, Mexico
late40, Private, 5th-6th, Never-married, Priv-house-serv, Unmarried, White, Female,none,none,below40, Nicaragua
mid30, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below40, Germany
mid30, Local-gov, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,none,none,below40, Honduras
late20, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,none,none,below40, United-States
early20, Private, 10th, Never-married, Other-service, Not-in-family, White, Female,none,none,below40, United-States
late40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,none,none,below40, United-States
under20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,none,none,below40, United-States
early20, Private, 10th, Never-married, Other-service, Other-relative, White, Male,none,none,below40, Mexico
mid20, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,none,none,below40, United-States
early50, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,none,none,below40, United-States
late30, Private, 12th, Divorced, Craft-repair, Own-child, White, Male,none,none,below40, United-States
mid20, Private, Some-college, Never-married, Sales, Own-child, White, Female,none,none,below40, United-States
early20, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, Mexico
late40, Private, Some-college, Separated, Sales, Unmarried, Black, Female,none,none,below40, United-States
early20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
under20, Private, 10th, Never-married, Sales, Own-child, White, Female,none,none,below40, United-States
early60, ?, 1st-4th, Married-civ-spouse, ?, Husband, White, Male,none,none,below40, United-States
late30, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,none,none,below40, United-States
mid30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, Mexico
early20, ?, HS-grad, Never-married, ?, Other-relative, White, Male,none,none,below40, Mexico
early20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,none,none,below40, United-States
early60, Local-gov, 7th-8th, Widowed, Other-service, Not-in-family, Black, Female,none,none,below40, United-States
late30, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,none,none,below40, United-States
early20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,none,none,below40, United-States
mid30, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,none,none,below40, United-States
late20, Private, 10th, Never-married, Farming-fishing, Other-relative, White, Male,none,none,below40, Mexico
late30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, Mexico
late20, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,none,none,below40, United-States
mid20, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,none,none,below40, United-States
early30, Federal-gov, HS-grad, Separated, Adm-clerical, Other-relative, Black, Male,none,none,below40, United-States
under20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below40, United-States
early70, Private, 11th, Divorced, Other-service, Not-in-family, Black, Female,none,none,below40, United-States
under20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
early30, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,none,none,below40, United-States
late20, Private, HS-grad, Divorced, Other-service, Own-child, Black, Male,none,none,below40, United-States
early30, Private, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Male,none,none,below40, Mexico
early20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,none,none,below40, United-States
late20, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,none,none,below40, Peru
early30, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,none,none,below40, United-States
early20, Private, 9th, Never-married, Machine-op-inspct, Other-relative, White, Male,none,none,below40, Mexico
mid20, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,none,none,below40, United-States
mid20, Private, Some-college, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
early30, Private, Preschool, Never-married, Other-service, Other-relative, White, Female,none,none,below40, Mexico
mid20, Self-emp-inc, Some-college, Never-married, Sales, Own-child, White, Female,none,none,below40, United-States
early20, Private, 9th, Never-married, Other-service, Unmarried, White, Male,none,none,below40, Mexico
under20, Private, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male,none,none,below40, United-States
late30, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,none,none,below40, Mexico
mid20, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,none,none,below40, United-States
late20, Private, 10th, Separated, Machine-op-inspct, Own-child, White, Male,none,none,below40, Mexico
early20, Private, HS-grad, Never-married, Sales, Other-relative, Black, Female,none,none,below40, United-States
early20, ?, Some-college, Never-married, ?, Own-child, White, Female,none,none,below40, United-States
late20, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,none,none,below40, United-States
early20, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,none,none,below40, Mexico
early50, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,none,none,below40, United-States
early20, Private, 9th, Married-spouse-absent, Other-service, Other-relative, White, Male,none,none,below40, Mexico
under20, Private, Some-college, Never-married, Sales, Own-child, White, Male,none,none,below40, United-States
late20, Private, 7th-8th, Never-married, Other-service, Other-relative, White, Male,none,none,below40, Guatemala
early30, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, Black, Female,none,none,below40, United-States
late30, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,none,none,below40, Mexico
early20, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,none,none,below40, United-States
early20, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,none,none,below40, United-States
early30, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,none,none,below40, United-States
early20, ?, Some-college, Never-married, ?, Own-child, Other, Female,below1000,none,below40, United-States
mid20, Private, Assoc-voc, Divorced, Sales, Own-child, White, Female,below1000,none,below40, United-States
late60, ?, HS-grad, Widowed, ?, Not-in-family, White, Male,below2000,none,below40, United-States
late30, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,below2000,none,below40, United-States
late70, ?, 7th-8th, Married-civ-spouse, ?, Husband, White, Male,below2000,none,below40, United-States
late60, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Male,below2000,none,below40, United-States
early60, Local-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,below2000,none,below40, United-States
late40, Private, Bachelors, Widowed, Prof-specialty, Unmarried, White, Female,below2000,none,below40, United-States
under20, Private, Some-college, Never-married, Sales, Own-child, White, Female,below3000,none,below40, United-States
early30, Private, 7th-8th, Divorced, Handlers-cleaners, Not-in-family, White, Male,below3000,none,below40, United-States
mid50, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female,below3000,none,below40, Italy
mid50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,below3000,none,below40, United-States
late20, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,below3000,none,below40, United-States
mid20, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,below3000,none,below40, United-States
early20, Private, 11th, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,below3000,none,below40, United-States
late60, ?, HS-grad, Divorced, ?, Not-in-family, White, Female,below3000,none,below40, United-States
early40, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,below3000,none,below40, United-States
early30, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,below3000,none,below40, United-States
early40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,below5000,none,below40, Philippines
late50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,below5000,none,below40, United-States
mid40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,below5000,none,below40, United-States
mid30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,below5000,none,below40, United-States
early30, State-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,below5000,none,below40, United-States
mid40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,below5000,none,below40, Guatemala
early30, Private, 10th, Separated, Other-service, Unmarried, White, Female,below5000,none,below40, United-States
mid60, ?, 11th, Widowed, ?, Not-in-family, White, Female,below5000,none,below40, United-States
early20, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,below5000,none,below40, United-States
early20, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,below5000,none,below40, United-States
mid50, State-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,below5000,none,below40, United-States
late20, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,below5000,none,below40, United-States
mid30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,below5000,none,below40, United-States
mid30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,below5000,none,below40, United-States
late30, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Female,below5000,none,below40, United-States
mid20, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,below5000,none,below40, United-States
mid40, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,below5000,none,below40, United-States
late30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,below5000,none,below40, United-States
mid30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,below5000,none,below40, United-States
early40, Local-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,below5000,none,below40, United-States
early30, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,below5000,none,below40, United-States
mid40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,below5000,none,below40, United-States
early40, Private, Masters, Divorced, Tech-support, Unmarried, Black, Female,below5000,none,below40, United-States
mid20, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,below5000,none,below40, United-States
early50, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,below7500,none,below40, United-States
early30, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Female,below7500,none,below40, United-States
late60, Local-gov, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,below7500,none,below40, United-States
mid60, Self-emp-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,below7500,none,below40, United-States
late30, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,below7500,none,below40, United-States
mid40, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,below7500,none,below40, United-States
